Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,0.6081,0.6081,0.6081,0.6081,0,2
1999-01-04,0.6081,0.6226,0.6115,0.621,0.0129,1
1999-01-05,0.621,0.6245,0.621,0.6221,0.0011,1
1999-01-06,0.6221,0.6306,0.6195,0.6299,0.0078,1
1999-01-07,0.6299,0.6376,0.628,0.6369,0.007,1
1999-01-08,0.6369,0.6357,0.6315,0.6347,-0.0022,0
1999-01-11,0.6347,0.6416,0.6325,0.6402,0.0055,1
1999-01-12,0.6402,0.6435,0.6365,0.6383,-0.0019,0
1999-01-13,0.6383,0.6375,0.6288,0.6336,-0.0047,0
1999-01-14,0.6336,0.6366,0.6397,0.6313,-0.0023,0
1999-01-15,0.6313,0.6358,0.629,0.635,0.0037,1
1999-01-18,0.635,0.637,0.634,0.634,-0.001,0
1999-01-19,0.634,0.6404,0.6325,0.638,0.004,1
1999-01-20,0.638,0.6411,0.638,0.6391,0.0011,1
1999-01-21,0.6391,0.6454,0.636,0.6425,0.0034,1
1999-01-22,0.6425,0.6415,0.6315,0.6316,-0.0109,0
1999-01-25,0.6316,0.634,0.6299,0.6305,-0.0011,0
1999-01-26,0.6305,0.633,0.6281,0.6286,-0.0019,0
1999-01-27,0.6286,0.6325,0.6264,0.6288,0.0002,1
1999-01-28,0.6288,0.6285,0.6235,0.6263,-0.0025,0
1999-01-29,0.6263,0.6318,0.6265,0.6301,0.0038,1
1999-02-01,0.6301,0.6378,0.631,0.6367,0.0066,1
1999-02-02,0.6367,0.6413,0.635,0.6389,0.0022,1
1999-02-03,0.6389,0.644,0.637,0.6416,0.0027,1
1999-02-04,0.6416,0.6509,0.6375,0.649,0.0074,1
1999-02-05,0.649,0.6539,0.6475,0.6503,0.0013,1
1999-02-08,0.6503,0.654,0.6495,0.6512,0.0009,1
1999-02-09,0.6512,0.65,0.6444,0.6454,-0.0058,0
1999-02-10,0.6454,0.6481,0.643,0.6461,0.0007,1
1999-02-11,0.6461,0.6514,0.6445,0.6471,0.001,1
1999-02-12,0.6471,0.648,0.6405,0.6455,-0.0016,0
1999-02-15,0.6455,0.6495,0.6455,0.6465,0.001,1
1999-02-16,0.6465,0.6455,0.6344,0.636,-0.0105,0
1999-02-17,0.636,0.637,0.6325,0.6345,-0.0015,0
1999-02-18,0.6345,0.6378,0.6336,0.6352,0.0007,1
1999-02-19,0.6352,0.641,0.635,0.6405,0.0053,1
1999-02-22,0.6405,0.6418,0.6355,0.6402,-0.0003,0
1999-02-23,0.6402,0.6415,0.6365,0.6409,0.0007,1
1999-02-24,0.6409,0.6405,0.6292,0.6321,-0.0088,0
1999-02-25,0.6321,0.6325,0.624,0.6254,-0.0067,0
1999-02-26,0.6254,0.625,0.617,0.6181,-0.0073,0
1999-03-01,0.6181,0.6215,0.6165,0.6192,0.0011,1
1999-03-02,0.6192,0.624,0.619,0.622,0.0028,1
1999-03-03,0.622,0.6265,0.621,0.6229,0.0009,1
1999-03-04,0.6229,0.6264,0.6195,0.6241,0.0012,1
1999-03-05,0.6241,0.6295,0.6245,0.6281,0.004,1
1999-03-08,0.6281,0.6319,0.6265,0.6318,0.0037,1
1999-03-09,0.6318,0.6368,0.63,0.6359,0.0041,1
1999-03-10,0.6359,0.6385,0.6335,0.6362,0.0003,1
1999-03-11,0.6362,0.6395,0.6322,0.6379,0.0017,1
1999-03-12,0.6379,0.638,0.6331,0.6363,-0.0016,0
