Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,82.7,82.7,82.7,82.7,0,2
1999-01-04,82.7,82.61,81.63,81.93,-0.77,0
1999-01-05,81.93,81.66,81.13,81.09,-0.84,0
1999-01-06,81.09,81.81,80.89,81,-0.09,0
1999-01-07,81,80.68,80.02,80.52,-0.48,0
1999-01-08,80.52,80.64,79.56,79.69,-0.83,0
1999-01-11,79.69,78.57,77.4,77.47,-2.22,0
1999-01-12,77.47,81.14,80.19,81,3.53,1
1999-01-13,81,84.31,82.7,82.79,1.79,1
1999-01-14,82.79,84.03,82.88,83.56,0.77,1
1999-01-15,83.56,83.6,82.08,82.65,-0.91,0
1999-01-18,82.65,83.2,82.15,82.95,0.3,1
1999-01-19,82.95,82.91,82.35,82.55,-0.4,0
1999-01-20,82.55,82.07,80.96,81.19,-1.36,0
1999-01-21,81.19,82.72,81.4,82.11,0.92,1
1999-01-22,82.11,83.06,82.41,82.83,0.72,1
1999-01-25,82.83,82.84,81.82,82.16,-0.67,0
1999-01-26,82.16,82.46,81.93,82.02,-0.14,0
1999-01-27,82.02,82.74,81.8,82.03,0.01,1
1999-01-28,82.03,82.63,81.87,82.53,0.5,1
1999-01-29,82.53,82.37,81.6,82.32,-0.21,0
1999-02-01,82.32,81.46,80.72,81.04,-1.28,0
1999-02-02,81.04,80.1,79.21,79.31,-1.73,0
1999-02-03,79.31,79.88,79.36,79.74,0.43,1
1999-02-04,79.74,79.83,78.81,79.44,-0.3,0
1999-02-05,79.44,80.16,79.53,79.66,0.22,1
1999-02-08,79.66,81.2,79.77,80.93,1.27,1
1999-02-09,80.93,81.33,80.32,80.5,-0.43,0
1999-02-10,80.5,82.16,81.06,81.31,0.81,1
1999-02-11,81.31,81.16,80.27,80.3,-1.01,0
1999-02-12,80.3,80.88,80.15,80.86,0.56,1
1999-02-15,80.86,81.5,80.4,81.2,0.34,1
1999-02-16,81.2,83.4,82.41,83.33,2.13,1
1999-02-17,83.33,83.79,83.34,83.72,0.39,1
1999-02-18,83.72,84.38,83.81,83.94,0.22,1
1999-02-19,83.94,83.93,83.4,83.71,-0.23,0
1999-02-22,83.71,83.63,82.92,83.46,-0.25,0
1999-02-23,83.46,83.82,83.25,83.5,0.04,1
1999-02-24,83.5,84.11,83.71,84.07,0.57,1
1999-02-25,84.07,83.66,82.98,83.17,-0.9,0
1999-02-26,83.17,82.86,81.8,82.29,-0.88,0
1999-03-01,82.29,82.35,81.77,81.85,-0.44,0
1999-03-02,81.85,82.91,82.47,82.56,0.71,1
1999-03-03,82.56,83.53,82.97,83.38,0.82,1
1999-03-04,83.38,84.56,83.71,83.96,0.58,1
1999-03-05,83.96,83.88,83.24,83.43,-0.53,0
1999-03-08,83.43,83.49,83.13,83.18,-0.25,0
1999-03-09,83.18,83.18,82.48,82.48,-0.7,0
1999-03-10,82.48,82.36,82.04,82.17,-0.31,0
1999-03-11,82.17,82.44,81.31,82.06,-0.11,0
1999-03-12,82.06,81.8,81,81.02,-1.04,0
1999-03-15,81.02,80.79,80.16,80.33,-0.69,0
1999-03-16,80.33,81.09,80.26,80.99,0.66,1
1999-03-17,80.99,81.72,81.26,81.31,0.32,1
1999-03-18,81.31,81.59,80.5,80.54,-0.77,0
1999-03-19,80.54,80.25,79.82,79.88,-0.66,0
1999-03-22,79.88,80.86,80.21,80.75,0.87,1
1999-03-23,80.75,81.01,80.58,80.86,0.11,1
1999-03-24,80.86,80.83,80.45,80.6,-0.26,0
1999-03-25,80.6,80.74,80.15,80.26,-0.34,0
1999-03-26,80.26,81.35,80.48,81.27,1.01,1
1999-03-29,81.27,80.98,80.38,80.95,-0.32,0
1999-03-30,80.95,81.18,80.57,80.72,-0.23,0
1999-03-31,80.72,80.31,79.86,80.24,-0.48,0
1999-04-01,80.24,81.44,80.56,81.41,1.17,1
1999-04-02,81.41,81.6,81.2,81.32,-0.09,0
1999-04-05,81.32,81.95,81.4,81.8,0.48,1
1999-04-06,81.8,82.16,81.2,81.95,0.15,1
1999-04-07,81.95,82.29,81.77,81.87,-0.08,0
1999-04-08,81.87,82.46,81.58,81.71,-0.16,0
1999-04-09,81.71,82,81.39,81.57,-0.14,0
1999-04-12,81.57,81.43,80.9,80.96,-0.61,0
1999-04-13,80.96,80.97,80.33,80.35,-0.61,0
1999-04-14,80.35,80.11,79.79,79.89,-0.46,0
1999-04-15,79.89,79.98,79.2,79.3,-0.59,0
1999-04-16,79.3,79.51,78.23,78.51,-0.79,0
1999-04-19,78.51,78.34,77.97,78.03,-0.48,0
1999-04-20,78.03,78.91,78.05,78.87,0.84,1
1999-04-21,78.87,79.62,78.92,79.41,0.54,1
1999-04-22,79.41,79.45,79.1,79.21,-0.2,0
1999-04-23,79.21,79.45,78.91,79,-0.21,0
1999-04-26,79,78.97,78.58,78.78,-0.22,0
1999-04-27,78.78,79.96,79.33,79.81,1.03,1
1999-04-28,79.81,78.99,78.59,78.8,-1.01,0
1999-04-29,78.8,78.62,78.2,78.23,-0.57,0
1999-04-30,78.23,78.75,78.16,78.43,0.2,1
1999-05-03,78.43,78.98,78.64,78.96,0.53,1
1999-05-04,78.96,80.03,79.54,79.96,1,1
1999-05-05,79.96,81.06,80.16,80.71,0.75,1
1999-05-06,80.71,81.37,80.91,81.01,0.3,1
1999-05-07,81.01,81.12,80.7,80.74,-0.27,0
1999-05-10,80.74,81.13,80.71,80.86,0.12,1
1999-05-11,80.86,80.86,80.48,80.57,-0.29,0
1999-05-12,80.57,80.78,80.21,80.29,-0.28,0
1999-05-13,80.29,81.12,80.58,81.08,0.79,1
1999-05-14,81.08,81.75,81.22,81.52,0.44,1
1999-05-17,81.52,82.21,81.9,82.12,0.6,1
1999-05-18,82.12,82.24,81.92,82.2,0.08,1
1999-05-19,82.2,83.03,82.56,82.68,0.48,1
1999-05-20,82.68,82.61,82.19,82.41,-0.27,0
1999-05-21,82.41,81.98,81.47,81.74,-0.67,0
1999-05-24,81.74,81.8,81.27,81.46,-0.28,0
1999-05-25,81.46,81.87,81.43,81.62,0.16,1
1999-05-26,81.62,80.74,79.96,80.21,-1.41,0
1999-05-27,80.21,80.44,78.93,78.99,-1.22,0
1999-05-28,78.99,79.44,78.94,79.37,0.38,1
1999-05-31,79.37,80.05,79.4,79.61,0.24,1
1999-06-01,79.61,79.42,79.01,79.11,-0.5,0
1999-06-02,79.11,79.02,78.56,78.93,-0.18,0
1999-06-03,78.93,79.41,78.83,78.99,0.06,1
1999-06-04,78.99,79.94,78.9,79.79,0.8,1
1999-06-07,79.79,78.7,78.21,78.24,-1.55,0
1999-06-08,78.24,79.31,77.93,78.06,-0.18,0
1999-06-09,78.06,78.55,77.94,78.08,0.02,1
1999-06-10,78.08,78.26,77.77,78.07,-0.01,0
1999-06-11,78.07,78.08,77.49,77.98,-0.09,0
1999-06-14,77.98,78.93,78.58,78.81,0.83,1
1999-06-15,78.81,78.88,78.37,78.63,-0.18,0
1999-06-16,78.63,78.11,77.42,77.76,-0.87,0
1999-06-17,77.76,77.65,77.06,77.25,-0.51,0
1999-06-18,77.25,78.81,78.03,78.28,1.03,1
1999-06-21,78.28,79.4,78.93,79.39,1.11,1
1999-06-22,79.39,78.87,78.57,78.7,-0.69,0
1999-06-23,78.7,78.92,78.51,78.8,0.1,1
1999-06-24,78.8,79.38,78.78,79.33,0.53,1
1999-06-25,79.33,79.59,79.12,79.22,-0.11,0
1999-06-28,79.22,79.38,78.4,78.43,-0.79,0
1999-06-29,78.43,78.36,77.81,78.09,-0.34,0
1999-06-30,78.09,78.24,77.72,78.15,0.06,1
1999-07-01,78.15,77.75,76.87,76.9,-1.25,0
1999-07-02,76.9,77.32,76.97,77.23,0.33,1
1999-07-05,77.23,78.28,77.68,77.96,0.73,1
1999-07-06,77.96,78.13,77.8,77.88,-0.08,0
1999-07-07,77.88,77.98,77.69,77.88,0,2
1999-07-08,77.88,78.17,77.64,78.01,0.13,1
1999-07-09,78.01,78.09,77.41,77.5,-0.51,0
1999-07-12,77.5,77.34,77.02,77.27,-0.23,0
1999-07-13,77.27,77.29,76.82,76.91,-0.36,0
1999-07-14,76.91,76.82,76.5,76.67,-0.24,0
1999-07-15,76.67,76.93,76.53,76.76,0.09,1
1999-07-16,76.76,76.98,76.56,76.77,0.01,1
1999-07-19,76.77,76.65,75.45,75.61,-1.16,0
1999-07-20,75.61,77.5,76.59,77.12,1.51,1
1999-07-21,77.12,77.8,77.27,77.42,0.3,1
1999-07-22,77.42,77.34,76.22,76.39,-1.03,0
1999-07-23,76.39,76.57,75.85,76.32,-0.07,0
1999-07-26,76.32,77.59,77,77.5,1.18,1
1999-07-27,77.5,77.79,77.08,77.25,-0.25,0
1999-07-28,77.25,77.49,76.91,77.41,0.16,1
1999-07-29,77.41,77.61,76.99,77.59,0.18,1
1999-07-30,77.59,77.15,76.64,76.88,-0.71,0
1999-08-02,76.88,76.6,76.26,76.43,-0.45,0
1999-08-03,76.43,77.1,76.59,77.01,0.58,1
1999-08-04,77.01,77.23,75.75,77,-0.01,0
1999-08-05,77,77.16,76.69,76.85,-0.15,0
1999-08-06,76.85,77.22,76.81,77.13,0.28,1
1999-08-09,77.13,77.24,76.8,77.02,-0.11,0
1999-08-10,77.02,77.08,76.59,76.78,-0.24,0
1999-08-11,76.78,76.78,76.53,76.74,-0.04,0
1999-08-12,76.74,77.05,76.77,77,0.26,1
1999-08-13,77,76.95,76.18,76.35,-0.65,0
1999-08-16,76.35,75.8,75.57,75.68,-0.67,0
1999-08-17,75.68,75.22,74.85,74.87,-0.81,0
1999-08-18,74.87,74.13,73.53,73.69,-1.18,0
1999-08-19,73.69,74.16,72.94,74.09,0.4,1
1999-08-20,74.09,74.61,74.1,74.41,0.32,1
1999-08-23,74.41,74.07,73.06,73.14,-1.27,0
1999-08-24,73.14,73.51,72.64,72.92,-0.22,0
1999-08-25,72.92,72.74,72.17,72.28,-0.64,0
1999-08-26,72.28,72.96,72.5,72.76,0.48,1
1999-08-27,72.76,73.07,72.73,72.87,0.11,1
1999-08-30,72.87,72.63,72.16,72.34,-0.53,0
1999-08-31,72.34,72.58,72.17,72.43,0.09,1
1999-09-01,72.43,72.57,72.09,72.13,-0.3,0
1999-09-02,72.13,73.35,72.09,73.1,0.97,1
1999-09-03,73.1,73.62,72.88,73.1,0,2
1999-09-06,73.1,73,72.45,72.55,-0.55,0
1999-09-07,72.55,73.49,73.32,73.41,0.86,1
1999-09-08,73.41,73.66,73.28,73.55,0.14,1
1999-09-09,73.55,72.11,70.82,71.01,-2.54,0
1999-09-10,71.01,71.78,70.08,70.11,-0.9,0
1999-09-13,70.11,69.07,68.42,69.05,-1.06,0
1999-09-14,69.05,68.92,67.94,68.35,-0.7,0
1999-09-15,68.35,67.86,66.89,67.54,-0.81,0
1999-09-16,67.54,68.43,67.35,68.19,0.65,1
1999-09-17,68.19,69.45,68.82,69.36,1.17,1
1999-09-20,69.36,70.25,68.67,68.74,-0.62,0
1999-09-21,68.74,68.66,67.29,68.6,-0.14,0
1999-09-22,68.6,68.45,67.57,67.69,-0.91,0
1999-09-23,67.69,67.95,67.46,67.93,0.24,1
1999-09-24,67.93,68.92,67.75,67.94,0.01,1
1999-09-27,67.94,69.47,68.3,69.27,1.33,1
1999-09-28,69.27,70.04,69.39,69.93,0.66,1
1999-09-29,69.93,71.22,70.43,71.12,1.19,1
1999-09-30,71.12,71.16,70.27,71.04,-0.08,0
