Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,1.6116,1.6116,1.6116,1.6116,0,2
1999-01-04,1.6116,1.6205,1.6075,1.617,0.0054,1
1999-01-05,1.617,1.6185,1.6085,1.6145,-0.0025,0
1999-01-06,1.6145,1.6205,1.608,1.6184,0.0039,1
1999-01-07,1.6184,1.6245,1.61,1.6139,-0.0045,0
1999-01-08,1.6139,1.62,1.61,1.6137,-0.0002,0
1999-01-11,1.6137,1.615,1.6075,1.611,-0.0027,0
1999-01-12,1.611,1.6135,1.6002,1.604,-0.007,0
1999-01-13,1.604,1.606,1.5765,1.5927,-0.0113,0
1999-01-14,1.5927,1.597,1.5872,1.5894,-0.0033,0
1999-01-15,1.5894,1.6017,1.584,1.5986,0.0092,1
1999-01-18,1.5986,1.6055,1.596,1.5985,-1.00E-04,0
1999-01-19,1.5985,1.6035,1.5928,1.5963,-0.0022,0
1999-01-20,1.5963,1.611,1.5965,1.6059,0.0096,1
1999-01-21,1.6059,1.6088,1.5979,1.6054,-0.0005,0
1999-01-22,1.6054,1.607,1.5962,1.604,-0.0014,0
1999-01-25,1.604,1.6058,1.594,1.6023,-0.0017,0
1999-01-26,1.6023,1.6077,1.599,1.6061,0.0038,1
1999-01-27,1.6061,1.6162,1.6045,1.6126,0.0065,1
1999-01-28,1.6126,1.6154,1.608,1.6107,-0.0019,0
1999-01-29,1.6107,1.6145,1.6079,1.6074,-0.0033,0
1999-02-01,1.6074,1.6115,1.6043,1.6062,-0.0012,0
1999-02-02,1.6062,1.61,1.5977,1.6033,-0.0029,0
1999-02-03,1.6033,1.6059,1.595,1.6016,-0.0017,0
1999-02-04,1.6016,1.606,1.5981,1.6032,0.0016,1
1999-02-05,1.6032,1.6045,1.5964,1.6012,-0.002,0
1999-02-08,1.6012,1.604,1.5975,1.6025,0.0013,1
1999-02-09,1.6025,1.6056,1.5985,1.604,0.0015,1
1999-02-10,1.604,1.603,1.592,1.595,-0.009,0
1999-02-11,1.595,1.6039,1.5945,1.6028,0.0078,1
1999-02-12,1.6028,1.602,1.5936,1.5973,-0.0055,0
1999-02-15,1.5973,1.599,1.5945,1.597,-0.0003,0
1999-02-16,1.597,1.6006,1.594,1.5966,-0.0004,0
1999-02-17,1.5966,1.6011,1.5955,1.5986,0.002,1
1999-02-18,1.5986,1.6018,1.5951,1.5991,0.0005,1
1999-02-19,1.5991,1.6038,1.597,1.6003,0.0012,1
1999-02-22,1.6003,1.603,1.5957,1.5983,-0.002,0
1999-02-23,1.5983,1.6005,1.5906,1.5935,-0.0048,0
1999-02-24,1.5935,1.596,1.5908,1.5912,-0.0023,0
1999-02-25,1.5912,1.596,1.5844,1.5886,-0.0026,0
1999-02-26,1.5886,1.595,1.5865,1.5938,0.0052,1
1999-03-01,1.5938,1.5958,1.5902,1.5925,-0.0013,0
1999-03-02,1.5925,1.5958,1.5899,1.5915,-0.001,0
1999-03-03,1.5915,1.595,1.5877,1.5901,-0.0014,0
1999-03-04,1.5901,1.5923,1.5852,1.5891,-0.001,0
1999-03-05,1.5891,1.5943,1.588,1.5914,0.0023,1
1999-03-08,1.5914,1.594,1.59,1.5917,0.0003,1
1999-03-09,1.5917,1.5995,1.591,1.5962,0.0045,1
1999-03-10,1.5962,1.602,1.5945,1.5982,0.002,1
1999-03-11,1.5982,1.6056,1.5918,1.6041,0.0059,1
1999-03-12,1.6041,1.603,1.5963,1.599,-0.0051,0
1999-03-15,1.599,1.6041,1.5975,1.6025,0.0035,1
1999-03-16,1.6025,1.6024,1.5945,1.5987,-0.0038,0
1999-03-17,1.5987,1.6015,1.5936,1.597,-0.0017,0
1999-03-18,1.597,1.6047,1.594,1.5997,0.0027,1
1999-03-19,1.5997,1.6004,1.5959,1.598,-0.0017,0
1999-03-22,1.598,1.6,1.5949,1.5961,-0.0019,0
1999-03-23,1.5961,1.5985,1.5911,1.5921,-0.004,0
1999-03-24,1.5921,1.5963,1.589,1.594,0.0019,1
1999-03-25,1.594,1.5982,1.591,1.5943,0.0003,1
1999-03-26,1.5943,1.5977,1.5912,1.5931,-0.0012,0
1999-03-29,1.5931,1.597,1.5912,1.5935,0.0004,1
1999-03-30,1.5935,1.6015,1.5925,1.5973,0.0038,1
1999-03-31,1.5973,1.599,1.594,1.5955,-0.0018,0
1999-04-01,1.5955,1.599,1.5935,1.5966,0.0011,1
1999-04-02,1.5966,1.598,1.5945,1.5968,0.0002,1
1999-04-05,1.5968,1.5993,1.5947,1.5952,-0.0016,0
1999-04-06,1.5952,1.5998,1.5935,1.597,0.0018,1
1999-04-07,1.597,1.5989,1.5934,1.5965,-0.0005,0
1999-04-08,1.5965,1.5994,1.5925,1.5961,-0.0004,0
1999-04-09,1.5961,1.6014,1.5945,1.6012,0.0051,1
1999-04-12,1.6012,1.6077,1.6,1.6065,0.0053,1
1999-04-13,1.6065,1.6075,1.6015,1.6056,-0.0009,0
1999-04-14,1.6056,1.607,1.6018,1.6033,-0.0023,0
1999-04-15,1.6033,1.6063,1.6015,1.6035,0.0002,1
1999-04-16,1.6035,1.6065,1.6,1.6013,-0.0022,0
1999-04-19,1.6013,1.6035,1.5992,1.602,0.0007,1
1999-04-20,1.602,1.606,1.5985,1.6014,-0.0006,0
1999-04-21,1.6014,1.603,1.5977,1.6012,-0.0002,0
1999-04-22,1.6012,1.603,1.5985,1.6017,0.0005,1
1999-04-23,1.6017,1.6067,1.599,1.6035,0.0018,1
1999-04-26,1.6035,1.6044,1.5995,1.6027,-0.0008,0
1999-04-27,1.6027,1.6088,1.6015,1.6085,0.0058,1
1999-04-28,1.6085,1.6102,1.6059,1.6074,-0.0011,0
1999-04-29,1.6074,1.6122,1.6055,1.6111,0.0037,1
1999-04-30,1.6111,1.6139,1.6097,1.6113,0.0002,1
1999-05-03,1.6113,1.6132,1.609,1.6113,0,2
1999-05-04,1.6113,1.6125,1.6043,1.6069,-0.0044,0
1999-05-05,1.6069,1.6075,1.6029,1.6054,-0.0015,0
1999-05-06,1.6054,1.61,1.6035,1.608,0.0026,1
1999-05-07,1.608,1.61,1.605,1.6088,0.0008,1
1999-05-10,1.6088,1.61,1.6055,1.6096,0.0008,1
1999-05-11,1.6096,1.6109,1.606,1.6083,-0.0013,0
1999-05-12,1.6083,1.6095,1.6015,1.6037,-0.0046,0
1999-05-13,1.6037,1.604,1.5995,1.6025,-0.0012,0
1999-05-14,1.6025,1.6045,1.5998,1.6039,0.0014,1
1999-05-17,1.6039,1.6065,1.6005,1.6036,-0.0003,0
1999-05-18,1.6036,1.605,1.6,1.601,-0.0026,0
1999-05-19,1.601,1.6041,1.5995,1.6028,0.0018,1
1999-05-20,1.6028,1.605,1.6008,1.6036,0.0008,1
1999-05-21,1.6036,1.6057,1.601,1.6048,0.0012,1
1999-05-24,1.6048,1.6045,1.601,1.6019,-0.0029,0
1999-05-25,1.6019,1.6025,1.5922,1.5938,-0.0081,0
1999-05-26,1.5938,1.5961,1.5905,1.5932,-0.0006,0
1999-05-27,1.5932,1.5957,1.5906,1.5913,-0.0019,0
1999-05-28,1.5913,1.5954,1.589,1.5915,0.0002,1
1999-05-31,1.5915,1.596,1.591,1.5917,0.0002,1
1999-06-01,1.5917,1.5949,1.5897,1.5923,0.0006,1
1999-06-02,1.5923,1.594,1.5888,1.5906,-0.0017,0
1999-06-03,1.5906,1.5947,1.586,1.5902,-0.0004,0
1999-06-04,1.5902,1.59,1.586,1.5891,-0.0011,0
1999-06-07,1.5891,1.5895,1.5835,1.5874,-0.0017,0
1999-06-08,1.5874,1.594,1.586,1.5928,0.0054,1
1999-06-09,1.5928,1.5952,1.5894,1.5947,0.0019,1
1999-06-10,1.5947,1.5991,1.5915,1.5958,0.0011,1
1999-06-11,1.5958,1.5995,1.5942,1.5962,0.0004,1
1999-06-14,1.5962,1.5965,1.593,1.5948,-0.0014,0
1999-06-15,1.5948,1.5972,1.5915,1.5957,0.0009,1
1999-06-16,1.5957,1.597,1.593,1.5952,-0.0005,0
1999-06-17,1.5952,1.5988,1.5945,1.5954,0.0002,1
1999-06-18,1.5954,1.6005,1.593,1.5976,0.0022,1
1999-06-21,1.5976,1.5987,1.5949,1.5961,-0.0015,0
1999-06-22,1.5961,1.597,1.593,1.5961,0,2
1999-06-23,1.5961,1.5986,1.5944,1.5975,0.0014,1
1999-06-24,1.5975,1.599,1.5941,1.5984,0.0009,1
1999-06-25,1.5984,1.601,1.597,1.5986,0.0002,1
1999-06-28,1.5986,1.6016,1.596,1.5995,0.0009,1
1999-06-29,1.5995,1.6039,1.5975,1.6025,0.003,1
1999-06-30,1.6025,1.6044,1.5997,1.6024,-1.00E-04,0
1999-07-01,1.6024,1.6074,1.6021,1.6055,0.0031,1
1999-07-02,1.6055,1.6077,1.602,1.6061,0.0006,1
1999-07-05,1.6061,1.6082,1.6023,1.605,-0.0011,0
1999-07-06,1.605,1.6051,1.6009,1.603,-0.002,0
1999-07-07,1.603,1.6063,1.6016,1.6043,0.0013,1
1999-07-08,1.6043,1.6064,1.602,1.6049,0.0006,1
1999-07-09,1.6049,1.6087,1.6038,1.6068,0.0019,1
1999-07-12,1.6068,1.6085,1.6036,1.6054,-0.0014,0
1999-07-13,1.6054,1.606,1.602,1.6048,-0.0006,0
1999-07-14,1.6048,1.6072,1.6025,1.6062,0.0014,1
