Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,0.7064,0.7064,0.7064,0.7064,0,2
1999-01-04,0.7064,0.7138,0.707,0.7138,0.0074,1
1999-01-05,0.7138,0.7151,0.7092,0.7117,-0.0021,0
1999-01-06,0.7117,0.7128,0.7005,0.7012,-0.0105,0
1999-01-07,0.7012,0.7102,0.7025,0.7096,0.0084,1
1999-01-08,0.7096,0.7117,0.7037,0.7051,-0.0045,0
1999-01-11,0.7051,0.7075,0.702,0.705,-1.00E-04,0
1999-01-12,0.705,0.7096,0.7025,0.7083,0.0033,1
1999-01-13,0.7083,0.7115,0.7065,0.7072,-0.0011,0
1999-01-14,0.7072,0.7087,0.7045,0.7067,-0.0005,0
1999-01-15,0.7067,0.7075,0.7005,0.7016,-0.0051,0
1999-01-18,0.7016,0.703,0.7,0.702,0.0004,1
1999-01-19,0.702,0.703,0.6977,0.7015,-0.0005,0
1999-01-20,0.7015,0.7041,0.699,0.7022,0.0007,1
1999-01-21,0.7022,0.7045,0.6997,0.702,-0.0002,0
1999-01-22,0.702,0.7035,0.6992,0.7004,-0.0016,0
1999-01-25,0.7004,0.701,0.6965,0.6974,-0.003,0
1999-01-26,0.6974,0.6981,0.6955,0.6968,-0.0006,0
1999-01-27,0.6968,0.698,0.6935,0.6952,-0.0016,0
1999-01-28,0.6952,0.6965,0.6909,0.6921,-0.0031,0
1999-01-29,0.6921,0.694,0.6893,0.6903,-0.0018,0
1999-02-01,0.6903,0.693,0.6879,0.689,-0.0013,0
1999-02-02,0.689,0.6922,0.686,0.6922,0.0032,1
1999-02-03,0.6922,0.6935,0.6905,0.6917,-0.0005,0
1999-02-04,0.6917,0.692,0.6875,0.689,-0.0027,0
1999-02-05,0.689,0.6915,0.6873,0.6902,0.0012,1
1999-02-08,0.6902,0.6912,0.688,0.6908,0.0006,1
1999-02-09,0.6908,0.692,0.6895,0.6902,-0.0006,0
1999-02-10,0.6902,0.6978,0.69,0.6962,0.006,1
1999-02-11,0.6962,0.6985,0.6919,0.6926,-0.0036,0
1999-02-12,0.6926,0.693,0.69,0.6915,-0.0011,0
1999-02-15,0.6915,0.6925,0.688,0.6906,-0.0009,0
1999-02-16,0.6906,0.6905,0.6833,0.6856,-0.005,0
1999-02-17,0.6856,0.688,0.6835,0.6874,0.0018,1
1999-02-18,0.6874,0.6889,0.684,0.6851,-0.0023,0
1999-02-19,0.6851,0.686,0.6803,0.6823,-0.0028,0
1999-02-22,0.6823,0.6825,0.677,0.6786,-0.0037,0
1999-02-23,0.6786,0.6829,0.6775,0.6822,0.0036,1
1999-02-24,0.6822,0.6892,0.6805,0.6883,0.0061,1
1999-02-25,0.6883,0.69,0.687,0.6886,0.0003,1
1999-02-26,0.6886,0.689,0.6847,0.6878,-0.0008,0
1999-03-01,0.6878,0.689,0.676,0.6767,-0.0111,0
1999-03-02,0.6767,0.6785,0.6752,0.6764,-0.0003,0
1999-03-03,0.6764,0.6775,0.6715,0.675,-0.0014,0
1999-03-04,0.675,0.6758,0.6714,0.6718,-0.0032,0
1999-03-05,0.6718,0.6753,0.671,0.674,0.0022,1
1999-03-08,0.674,0.68,0.6735,0.6769,0.0029,1
1999-03-09,0.6769,0.677,0.6714,0.6728,-0.0041,0
1999-03-10,0.6728,0.6765,0.6725,0.6732,0.0004,1
1999-03-11,0.6732,0.6749,0.6644,0.6742,0.001,1
1999-03-12,0.6742,0.675,0.6661,0.6688,-0.0054,0
1999-03-15,0.6688,0.6754,0.669,0.674,0.0052,1
1999-03-16,0.674,0.6759,0.6675,0.6753,0.0013,1
1999-03-17,0.6753,0.677,0.6727,0.675,-0.0003,0
1999-03-18,0.675,0.678,0.6728,0.6733,-0.0017,0
1999-03-19,0.6733,0.675,0.6684,0.6688,-0.0045,0
1999-03-22,0.6688,0.6704,0.6675,0.6703,0.0015,1
1999-03-23,0.6703,0.6715,0.6658,0.6661,-0.0042,0
1999-03-24,0.6661,0.6685,0.6638,0.6659,-0.0002,0
1999-03-25,0.6659,0.668,0.6645,0.6674,0.0015,1
1999-03-26,0.6674,0.6685,0.6615,0.6633,-0.0041,0
1999-03-29,0.6633,0.665,0.6605,0.6643,0.001,1
1999-03-30,0.6643,0.6681,0.6627,0.6647,0.0004,1
1999-03-31,0.6647,0.6705,0.6635,0.6675,0.0028,1
1999-04-01,0.6675,0.6744,0.666,0.6729,0.0054,1
1999-04-02,0.6729,0.6735,0.6715,0.6724,-0.0005,0
1999-04-05,0.6724,0.6725,0.6685,0.6694,-0.003,0
1999-04-06,0.6694,0.6818,0.6695,0.6815,0.0121,1
1999-04-07,0.6815,0.6812,0.6747,0.6754,-0.0061,0
1999-04-08,0.6754,0.6758,0.6675,0.6695,-0.0059,0
1999-04-09,0.6695,0.6732,0.6685,0.6713,0.0018,1
1999-04-12,0.6713,0.673,0.67,0.6727,0.0014,1
1999-04-13,0.6727,0.671,0.6662,0.6665,-0.0062,0
1999-04-14,0.6665,0.6706,0.666,0.6702,0.0037,1
1999-04-15,0.6702,0.6705,0.6645,0.6651,-0.0051,0
1999-04-16,0.6651,0.6655,0.6611,0.6635,-0.0016,0
1999-04-19,0.6635,0.663,0.656,0.6603,-0.0032,0
1999-04-20,0.6603,0.662,0.6578,0.6601,-0.0002,0
1999-04-21,0.6601,0.6615,0.658,0.661,0.0009,1
1999-04-22,0.661,0.6635,0.656,0.6573,-0.0037,0
1999-04-23,0.6573,0.6605,0.6561,0.6573,0,2
1999-04-26,0.6573,0.658,0.6555,0.6567,-0.0006,0
1999-04-27,0.6567,0.6605,0.6565,0.6587,0.002,1
1999-04-28,0.6587,0.6605,0.657,0.6584,-0.0003,0
1999-04-29,0.6584,0.6589,0.656,0.6586,0.0002,1
1999-04-30,0.6586,0.6605,0.6554,0.6577,-0.0009,0
1999-05-03,0.6577,0.6583,0.6558,0.6572,-0.0005,0
1999-05-04,0.6572,0.6575,0.6516,0.6526,-0.0046,0
1999-05-05,0.6526,0.658,0.6525,0.6561,0.0035,1
1999-05-06,0.6561,0.6615,0.657,0.6588,0.0027,1
1999-05-07,0.6588,0.6616,0.658,0.6591,0.0003,1
1999-05-10,0.6591,0.6644,0.658,0.6642,0.0051,1
1999-05-11,0.6642,0.6645,0.6592,0.66,-0.0042,0
1999-05-12,0.66,0.6621,0.6575,0.6584,-0.0016,0
1999-05-13,0.6584,0.659,0.6552,0.6581,-0.0003,0
1999-05-14,0.6581,0.6617,0.6565,0.6581,0,2
1999-05-17,0.6581,0.66,0.6575,0.6592,0.0011,1
1999-05-18,0.6592,0.661,0.6566,0.658,-0.0012,0
1999-05-19,0.658,0.6595,0.6566,0.6592,0.0012,1
1999-05-20,0.6592,0.6618,0.6589,0.6615,0.0023,1
1999-05-21,0.6615,0.661,0.6585,0.6608,-0.0007,0
1999-05-24,0.6608,0.664,0.659,0.6636,0.0028,1
1999-05-25,0.6636,0.6645,0.6602,0.6614,-0.0022,0
1999-05-26,0.6614,0.662,0.6546,0.6557,-0.0057,0
1999-05-27,0.6557,0.6565,0.6525,0.6527,-0.003,0
1999-05-28,0.6527,0.6555,0.6492,0.6495,-0.0032,0
1999-05-31,0.6495,0.6533,0.65,0.6502,0.0007,1
1999-06-01,0.6502,0.6525,0.6474,0.6481,-0.0021,0
1999-06-02,0.6481,0.649,0.6424,0.6448,-0.0033,0
1999-06-03,0.6448,0.6475,0.6424,0.6427,-0.0021,0
1999-06-04,0.6427,0.6447,0.6405,0.6439,0.0012,1
1999-06-07,0.6439,0.6443,0.6385,0.6426,-0.0013,0
1999-06-08,0.6426,0.6518,0.642,0.6516,0.009,1
1999-06-09,0.6516,0.6548,0.651,0.6532,0.0016,1
1999-06-10,0.6532,0.656,0.6525,0.6529,-0.0003,0
1999-06-11,0.6529,0.6545,0.6506,0.6516,-0.0013,0
1999-06-14,0.6516,0.652,0.6468,0.6485,-0.0031,0
1999-06-15,0.6485,0.6635,0.6506,0.6543,0.0058,1
1999-06-16,0.6543,0.655,0.6469,0.6493,-0.005,0
1999-06-17,0.6493,0.6505,0.6457,0.6493,0,2
1999-06-18,0.6493,0.6535,0.6465,0.6507,0.0014,1
1999-06-21,0.6507,0.6535,0.649,0.65,-0.0007,0
1999-06-22,0.65,0.6515,0.6483,0.6493,-0.0007,0
1999-06-23,0.6493,0.6537,0.649,0.6534,0.0041,1
1999-06-24,0.6534,0.657,0.6517,0.6552,0.0018,1
1999-06-25,0.6552,0.6589,0.656,0.6571,0.0019,1
1999-06-28,0.6571,0.6575,0.6539,0.6542,-0.0029,0
1999-06-29,0.6542,0.6568,0.6535,0.6563,0.0021,1
1999-06-30,0.6563,0.6565,0.6531,0.6552,-0.0011,0
1999-07-01,0.6552,0.658,0.6479,0.6505,-0.0047,0
1999-07-02,0.6505,0.6503,0.6479,0.6487,-0.0018,0
1999-07-05,0.6487,0.6498,0.648,0.649,0.0003,1
1999-07-06,0.649,0.6564,0.6475,0.6551,0.0061,1
1999-07-07,0.6551,0.657,0.6542,0.6548,-0.0003,0
1999-07-08,0.6548,0.6556,0.6526,0.6549,1.00E-04,1
1999-07-09,0.6549,0.659,0.654,0.6573,0.0024,1
1999-07-12,0.6573,0.657,0.6509,0.6519,-0.0054,0
1999-07-13,0.6519,0.655,0.65,0.6532,0.0013,1
1999-07-14,0.6532,0.6544,0.6516,0.6531,-1.00E-04,0
1999-07-15,0.6531,0.6536,0.6509,0.652,-0.0011,0
1999-07-16,0.652,0.6535,0.6505,0.6525,0.0005,1
1999-07-19,0.6525,0.6543,0.65,0.6516,-0.0009,0
1999-07-20,0.6516,0.6644,0.6525,0.6637,0.0121,1
1999-07-21,0.6637,0.6685,0.664,0.6669,0.0032,1
1999-07-22,0.6669,0.6673,0.6616,0.664,-0.0029,0
1999-07-23,0.664,0.6673,0.6625,0.6662,0.0022,1
1999-07-26,0.6662,0.674,0.6645,0.6705,0.0043,1
1999-07-27,0.6705,0.672,0.6667,0.6678,-0.0027,0
1999-07-28,0.6678,0.6705,0.6667,0.6673,-0.0005,0
1999-07-29,0.6673,0.6695,0.661,0.663,-0.0043,0
1999-07-30,0.663,0.665,0.6579,0.6599,-0.0031,0
1999-08-02,0.6599,0.6616,0.657,0.6608,0.0009,1
