Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,133.27,133.27,133.27,133.27,0,2
1999-01-04,133.27,135.15,132.1,132.44,-0.83,0
1999-01-05,132.44,132.85,130.6,130.91,-1.53,0
1999-01-06,130.91,132.5,131,131.09,0.18,1
1999-01-07,131.09,131.45,128.5,129.94,-1.15,0
1999-01-08,129.94,131.05,128.5,131.05,1.11,1
1999-01-11,131.05,128.5,124.55,124.8,-6.25,0
1999-01-12,124.8,130.16,124.85,129.93,5.13,1
1999-01-13,129.93,133.69,129.15,131.86,1.93,1
1999-01-14,131.86,133.85,131.25,132.82,0.96,1
1999-01-15,132.82,132.8,131.14,132.12,-0.7,0
1999-01-18,132.12,133.35,131.4,132.55,0.43,1
1999-01-19,132.55,133,131.6,131.78,-0.77,0
1999-01-20,131.78,131.85,130.21,130.39,-1.39,0
1999-01-21,130.39,132.81,129.9,131.82,1.43,1
1999-01-22,131.82,132.98,131.7,132.86,1.04,1
1999-01-25,132.86,132.95,131.27,131.65,-1.21,0
1999-01-26,131.65,132.31,131,131.74,0.09,1
1999-01-27,131.74,133.03,130.8,132.29,0.55,1
1999-01-28,132.29,132.97,131.75,132.93,0.64,1
1999-01-29,132.93,132.95,131.53,132.31,-0.62,0
1999-02-01,132.31,132,129.63,130.19,-2.12,0
1999-02-02,130.19,130.4,126.76,127.15,-3.04,0
1999-02-03,127.15,128.07,126.85,127.71,0.56,1
1999-02-04,127.71,129,126.16,127.35,-0.36,0
1999-02-05,127.35,128.23,126.65,127.55,0.2,1
1999-02-08,127.55,130.02,127,129.68,2.13,1
1999-02-09,129.68,130.2,128.79,129.12,-0.56,0
1999-02-10,129.12,130.99,128.8,129.69,0.57,1
1999-02-11,129.69,129.8,128.55,128.74,-0.95,0
1999-02-12,128.74,129.9,127.98,129.15,0.41,1
1999-02-15,129.15,130.1,128.35,129.65,0.5,1
1999-02-16,129.65,133.38,129.8,133.05,3.4,1
1999-02-17,133.05,133.9,132.4,133.84,0.79,1
1999-02-18,133.84,134.83,133.2,134.23,0.39,1
1999-02-19,134.23,134.95,133.55,133.95,-0.28,0
1999-02-22,133.95,135,132.58,133.39,-0.56,0
1999-02-23,133.39,133.75,132.45,133.06,-0.33,0
1999-02-24,133.06,134.03,132.75,133.77,0.71,1
1999-02-25,133.77,134,131.81,132.13,-1.64,0
1999-02-26,132.13,133.05,130.14,131.15,-0.98,0
1999-03-01,131.15,131.5,130.23,130.35,-0.8,0
1999-03-02,130.35,131.95,130.35,131.4,1.05,1
1999-03-03,131.4,132.8,131.3,132.58,1.18,1
1999-03-04,132.58,134.18,132.31,133.42,0.84,1
1999-03-05,133.42,133.55,132.44,132.76,-0.66,0
1999-03-08,132.76,133.2,131.7,132.4,-0.36,0
1999-03-09,132.4,132.8,131.62,131.66,-0.74,0
1999-03-10,131.66,132.2,131,131.22,-0.44,0
1999-03-11,131.22,132,129.54,131.63,0.41,1
1999-03-12,131.63,132.65,129.5,129.55,-2.08,0
1999-03-15,129.55,130.25,128.39,128.73,-0.82,0
1999-03-16,128.73,129.63,127.3,129.48,0.75,1
1999-03-17,129.48,130.8,128.95,129.86,0.38,1
1999-03-18,129.86,131.05,128.79,128.83,-1.03,0
1999-03-19,128.83,129.2,127.54,127.65,-1.18,0
1999-03-22,127.65,129.14,127.5,128.89,1.24,1
1999-03-23,128.89,129.5,128.24,128.74,-0.15,0
1999-03-24,128.74,129.05,128.1,128.84,0.1,1
1999-03-25,128.84,128.86,127.89,127.96,-0.88,0
1999-03-26,127.96,129.54,127.9,129.84,1.88,1
1999-03-29,129.84,129.6,128.15,128.99,-0.85,0
1999-03-30,128.99,129.73,128.7,128.93,-0.06,0
1999-03-31,128.93,129.5,127.51,128.02,-0.91,0
1999-04-01,128.02,130.1,127.25,129.98,1.96,1
1999-04-02,129.98,130.2,129.7,129.85,-0.13,0
1999-04-05,129.85,130.9,129.85,130.49,0.64,1
1999-04-06,130.49,131.15,129.29,130.88,0.39,1
1999-04-07,130.88,131.23,130.15,130.72,-0.16,0
1999-04-08,130.72,131.52,130.2,130.42,-0.3,0
1999-04-09,130.42,130.95,129.7,130.61,0.19,1
1999-04-12,130.61,130.85,129.95,130.07,-0.54,0
1999-04-13,130.07,130.6,128.99,129.01,-1.06,0
1999-04-14,129.01,129.2,128.03,128.07,-0.94,0
1999-04-15,128.07,128.75,127.03,127.17,-0.9,0
1999-04-16,127.17,127.45,125.2,126,-1.17,0
1999-04-19,126,126.8,124.8,125.01,-0.99,0
1999-04-20,125.01,126.38,125.14,126.31,1.3,1
1999-04-21,126.31,127.28,125.8,127.16,0.85,1
1999-04-22,127.16,128.15,126.55,126.87,-0.29,0
1999-04-23,126.87,127.85,126.46,126.68,-0.19,0
1999-04-26,126.68,126.55,125.8,126.26,-0.42,0
1999-04-27,126.26,128.53,126.2,128.38,2.12,1
1999-04-28,128.38,128.15,126.34,126.66,-1.72,0
1999-04-29,126.66,126.9,125.81,126.04,-0.62,0
1999-04-30,126.04,127.05,126,126.37,0.33,1
1999-05-03,126.37,127.27,126.4,127.23,0.86,1
1999-05-04,127.23,128.49,127.15,128.48,1.25,1
1999-05-05,128.48,129.94,128.35,129.58,1.1,1
