Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,1.1729,1.1729,1.1729,1.1729,0,2
1999-01-04,1.1729,1.1885,1.174,1.1825,0.0096,1
1999-01-05,1.1825,1.1835,1.1747,1.1776,-0.0049,0
1999-01-06,1.1776,1.1775,1.1555,1.16,-0.0176,0
1999-01-07,1.16,1.1735,1.161,1.1713,0.0113,1
1999-01-08,1.1713,1.1735,1.154,1.1595,-0.0118,0
1999-01-11,1.1595,1.1605,1.1487,1.1491,-0.0104,0
1999-01-12,1.1491,1.1565,1.1445,1.1551,0.006,1
1999-01-13,1.1551,1.179,1.155,1.1653,0.0102,1
1999-01-14,1.1653,1.1725,1.1615,1.1709,0.0056,1
1999-01-15,1.1709,1.175,1.1566,1.159,-0.0119,0
1999-01-18,1.159,1.162,1.156,1.1605,0.0015,1
1999-01-19,1.1605,1.164,1.1565,1.161,0.0005,1
1999-01-20,1.161,1.1615,1.1542,1.1553,-0.0057,0
1999-01-21,1.1553,1.1612,1.1545,1.16,0.0047,1
1999-01-22,1.16,1.1625,1.156,1.1587,-0.0013,0
1999-01-25,1.1587,1.161,1.1554,1.1555,-0.0032,0
1999-01-26,1.1555,1.159,1.155,1.1561,0.0006,1
1999-01-27,1.1561,1.1565,1.1403,1.1432,-0.0129,0
1999-01-28,1.1432,1.147,1.138,1.1421,-0.0011,0
1999-01-29,1.1421,1.143,1.1346,1.1367,-0.0054,0
1999-02-01,1.1367,1.139,1.1289,1.1312,-0.0055,0
1999-02-02,1.1312,1.1365,1.1285,1.1348,0.0036,1
1999-02-03,1.1348,1.1356,1.13,1.1319,-0.0029,0
1999-02-04,1.1319,1.1345,1.125,1.1335,0.0016,1
1999-02-05,1.1335,1.137,1.1254,1.1265,-0.007,0
1999-02-08,1.1265,1.1327,1.122,1.1325,0.006,1
1999-02-09,1.1325,1.1345,1.1281,1.1289,-0.0036,0
1999-02-10,1.1289,1.136,1.127,1.1345,0.0056,1
1999-02-11,1.1345,1.1335,1.1222,1.1233,-0.0112,0
1999-02-12,1.1233,1.1287,1.1215,1.128,0.0047,1
1999-02-15,1.128,1.1305,1.1223,1.123,-0.005,0
1999-02-16,1.123,1.1235,1.1164,1.1201,-0.0029,0
1999-02-17,1.1201,1.1265,1.1205,1.1237,0.0036,1
1999-02-18,1.1237,1.128,1.119,1.1203,-0.0034,0
1999-02-19,1.1203,1.121,1.106,1.1063,-0.014,0
1999-02-22,1.1063,1.107,1.0965,1.1036,-0.0027,0
1999-02-23,1.1036,1.107,1.0944,1.1005,-0.0031,0
1999-02-24,1.1005,1.1045,1.0925,1.0986,-0.0019,0
1999-02-25,1.0986,1.1076,1.0985,1.1044,0.0058,1
1999-02-26,1.1044,1.1045,1.0955,1.1016,-0.0028,0
1999-03-01,1.1016,1.102,1.0884,1.0886,-0.013,0
1999-03-02,1.0886,1.0938,1.086,1.0918,0.0032,1
1999-03-03,1.0918,1.0945,1.0881,1.0889,-0.0029,0
1999-03-04,1.0889,1.088,1.0792,1.082,-0.0069,0
1999-03-05,1.082,1.0862,1.079,1.0826,0.0006,1
1999-03-08,1.0826,1.092,1.08,1.0883,0.0057,1
1999-03-09,1.0883,1.092,1.086,1.0889,0.0006,1
1999-03-10,1.0889,1.0975,1.0875,1.0952,0.0063,1
1999-03-11,1.0952,1.1063,1.08,1.1032,0.008,1
1999-03-12,1.1032,1.104,1.0892,1.0904,-0.0128,0
1999-03-15,1.0904,1.0957,1.0885,1.0937,0.0033,1
1999-03-16,1.0937,1.1007,1.0815,1.1,0.0063,1
1999-03-17,1.1,1.1044,1.094,1.1004,0.0004,1
1999-03-18,1.1004,1.1065,1.0965,1.0971,-0.0033,0
1999-03-19,1.0971,1.11,1.0882,1.0886,-0.0085,0
1999-03-22,1.0886,1.0918,1.085,1.0915,0.0029,1
1999-03-23,1.0915,1.0926,1.0865,1.091,-0.0005,0
1999-03-24,1.091,1.0964,1.0875,1.0892,-0.0018,0
1999-03-25,1.0892,1.091,1.083,1.0906,0.0014,1
1999-03-26,1.0906,1.0865,1.0714,1.0767,-0.0139,0
