Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,2.2815,2.2815,2.2815,2.2815,0,2
1999-01-04,2.2815,2.2736,2.2631,2.2653,-0.0162,0
1999-01-05,2.2653,2.2786,2.2621,2.2686,0.0033,1
1999-01-06,2.2686,2.311,2.2772,2.3082,0.0396,1
1999-01-07,2.3082,2.2914,2.2695,2.2743,-0.0339,0
1999-01-08,2.2743,2.296,2.2682,2.2886,0.0143,1
1999-01-11,2.2886,2.2999,2.2746,2.285,-0.0036,0
1999-01-12,2.285,2.2751,2.2592,2.2645,-0.0205,0
1999-01-13,2.2645,2.2577,2.2184,2.2521,-0.0124,0
1999-01-14,2.2521,2.2621,2.2416,2.249,-0.0031,0
1999-01-15,2.249,2.2814,2.2683,2.2784,0.0294,1
1999-01-18,2.2784,2.2795,2.2795,2.2795,0.0011,1
1999-01-19,2.2795,2.29,2.2734,2.2755,-0.004,0
1999-01-20,2.2755,2.2951,2.2796,2.2869,0.0114,1
1999-01-21,2.2869,2.2961,2.2756,2.287,1.00E-04,1
1999-01-22,2.287,2.2918,2.279,2.2901,0.0031,1
1999-01-25,2.2901,2.3035,2.2819,2.2975,0.0074,1
1999-01-26,2.2975,2.3075,2.2949,2.3051,0.0076,1
1999-01-27,2.3051,2.3257,2.3065,2.3197,0.0146,1
1999-01-28,2.3197,2.3368,2.3236,2.3278,0.0081,1
1999-01-29,2.3278,2.3371,2.3248,2.3285,0.0007,1
1999-02-01,2.3285,2.3367,2.3267,2.3312,0.0027,1
1999-02-02,2.3312,2.329,2.3155,2.3164,-0.0148,0
1999-02-03,2.3164,2.3197,2.305,2.3153,-0.0011,0
1999-02-04,2.3153,2.3281,2.3184,2.3267,0.0114,1
1999-02-05,2.3267,2.3326,2.3176,2.3201,-0.0066,0
1999-02-08,2.3201,2.3282,2.3154,2.32,-0.0001,0
1999-02-09,2.32,2.3252,2.3135,2.3239,0.0039,1
1999-02-10,2.3239,2.2969,2.286,2.2911,-0.0328,0
1999-02-11,2.2911,2.3156,2.2874,2.3141,0.023,1
1999-02-12,2.3141,2.313,2.3024,2.3098,-0.0043,0
1999-02-15,2.3098,2.3175,2.3077,2.3122,0.0024,1
1999-02-16,2.3122,2.3385,2.3263,2.3288,0.0166,1
1999-02-17,2.3288,2.3311,2.3219,2.3257,-0.0031,0
1999-02-18,2.3257,2.3402,2.3175,2.3334,0.0077,1
1999-02-19,2.3334,2.3547,2.3365,2.3455,0.0121,1
1999-02-22,2.3455,2.3583,2.349,2.3552,0.0097,1
1999-02-23,2.3552,2.3514,2.3342,2.3359,-0.0193,0
1999-02-24,2.3359,2.325,2.3112,2.3118,-0.0241,0
1999-02-25,2.3118,2.3129,2.3015,2.3072,-0.0046,0
1999-02-26,2.3072,2.3248,2.3105,2.3171,0.0099,1
1999-03-01,2.3171,2.3563,2.3304,2.3535,0.0364,1
1999-03-02,2.3535,2.3592,2.3491,2.3529,-0.0006,0
1999-03-03,2.3529,2.3679,2.3512,2.3556,0.0027,1
1999-03-04,2.3556,2.3686,2.3474,2.3653,0.0097,1
1999-03-05,2.3653,2.3696,2.3582,2.3611,-0.0042,0
1999-03-08,2.3611,2.3571,2.3497,2.3515,-0.0096,0
1999-03-09,2.3515,2.3782,2.3565,2.3724,0.0209,1
1999-03-10,2.3724,2.3792,2.3672,2.374,0.0016,1
1999-03-11,2.374,2.4014,2.3627,2.3792,0.0052,1
1999-03-12,2.3792,2.3996,2.3823,2.3911,0.0119,1
1999-03-15,2.3911,2.3806,2.3709,2.3776,-0.0135,0
1999-03-16,2.3776,2.3867,2.3643,2.3676,-0.01,0
1999-03-17,2.3676,2.3765,2.358,2.3661,-0.0015,0
1999-03-18,2.3661,2.3773,2.3554,2.376,0.0099,1
1999-03-19,2.376,2.3921,2.3785,2.3894,0.0134,1
1999-03-22,2.3894,2.3917,2.3803,2.3811,-0.0083,0
1999-03-23,2.3811,2.3938,2.3784,2.3903,0.0092,1
1999-03-24,2.3903,2.3992,2.3861,2.3936,0.0033,1
1999-03-25,2.3936,2.3982,2.3856,2.389,-0.0046,0
1999-03-26,2.389,2.4085,2.3971,2.4018,0.0128,1
1999-03-29,2.4018,2.4144,2.3978,2.3986,-0.0032,0
1999-03-30,2.3986,2.4055,2.3926,2.4031,0.0045,1
1999-03-31,2.4031,2.3976,2.3816,2.3904,-0.0127,0
1999-04-01,2.3904,2.3807,2.3673,2.3728,-0.0176,0
1999-04-02,2.3728,2.3775,2.372,2.3748,0.002,1
1999-04-05,2.3748,2.3898,2.374,2.3831,0.0083,1
1999-04-06,2.3831,2.3653,2.3387,2.3436,-0.0395,0
1999-04-07,2.3436,2.3676,2.3537,2.3637,0.0201,1
1999-04-08,2.3637,2.3911,2.3592,2.3841,0.0204,1
1999-04-09,2.3841,2.3901,2.3735,2.3851,0.001,1
1999-04-12,2.3851,2.3965,2.3814,2.3952,0.0101,1
1999-04-13,2.3952,2.4111,2.3997,2.4089,0.0137,1
1999-04-14,2.4089,2.4098,2.391,2.3921,-0.0168,0
1999-04-15,2.3921,2.4151,2.3995,2.4109,0.0188,1
1999-04-16,2.4109,2.4231,2.4079,2.4146,0.0037,1
1999-04-19,2.4146,2.4386,2.4211,2.4263,0.0117,1
1999-04-20,2.4263,2.4396,2.425,2.4258,-0.0005,0
1999-04-21,2.4258,2.43,2.4187,2.4223,-0.0035,0
1999-04-22,2.4223,2.4389,2.4277,2.4358,0.0135,1
1999-04-23,2.4358,2.4439,2.4267,2.4396,0.0038,1
1999-04-26,2.4396,2.4431,2.4358,2.4408,0.0012,1
