Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,188.67,188.67,188.67,188.67,0,2
1999-01-04,188.67,187.82,185.12,185.6,-3.07,0
1999-01-05,185.6,184.95,183.7,183.95,-1.65,0
1999-01-06,183.95,187.35,185.8,186.96,3.01,1
1999-01-07,186.96,184.37,182.41,183.12,-3.84,0
1999-01-08,183.12,183.37,182.05,182.37,-0.75,0
1999-01-11,182.37,180.01,176.67,177.03,-5.34,0
1999-01-12,177.03,183.64,181.64,183.44,6.41,1
1999-01-13,183.44,188.53,185.95,186.46,3.02,1
1999-01-14,186.46,189.27,186.25,187.94,1.48,1
1999-01-15,187.94,188.65,186.4,188.65,0.71,1
1999-01-18,188.65,190.25,187.15,188.85,0.2,1
1999-01-19,188.85,189.22,187.8,187.84,-1.01,0
1999-01-20,187.84,187.94,185.63,185.68,-2.16,0
1999-01-21,185.68,189.47,185.74,187.78,2.1,1
1999-01-22,187.78,190.08,187.55,189.69,1.91,1
1999-01-25,189.69,189.23,188.26,188.77,-0.92,0
1999-01-26,188.77,189.73,188.71,189.07,0.3,1
1999-01-27,189.07,191.24,189.29,190.29,1.22,1
1999-01-28,190.29,192.21,190.64,192.05,1.76,1
1999-01-29,192.05,191.88,190.21,191.68,-0.37,0
1999-02-01,191.68,189.82,188.3,188.91,-2.77,0
1999-02-02,188.91,186.13,183.7,183.71,-5.2,0
1999-02-03,183.71,185.1,183.2,184.63,0.92,1
1999-02-04,184.63,185.34,183.07,184.83,0.2,1
1999-02-05,184.83,186.44,184.59,184.8,-0.03,0
1999-02-08,184.8,188.33,185.34,187.74,2.94,1
1999-02-09,187.74,188.39,186.45,187.07,-0.67,0
1999-02-10,187.07,188.23,185.45,186.28,-0.79,0
1999-02-11,186.28,186.68,185.27,185.82,-0.46,0
1999-02-12,185.82,186.81,185.09,186.76,0.94,1
1999-02-15,186.76,188.8,185.75,187.7,0.94,1
1999-02-16,187.7,194.2,192.21,194.06,6.36,1
1999-02-17,194.06,195.14,194.04,194.71,0.65,1
1999-02-18,194.71,196.46,195.01,195.94,1.23,1
1999-02-19,195.94,196.95,195.76,196.34,0.4,1
1999-02-22,196.34,197.05,195.1,196.56,0.22,1
1999-02-23,196.56,196.44,194.83,195.05,-1.51,0
