Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,1.6604,1.6604,1.6604,1.6604,0,2
1999-01-04,1.6604,1.6715,1.6545,1.656,-0.0044,0
1999-01-05,1.656,1.66,1.653,1.6547,-0.0013,0
1999-01-06,1.6547,1.6555,1.649,1.6544,-0.0003,0
1999-01-07,1.6544,1.6575,1.6468,1.6506,-0.0038,0
1999-01-08,1.6506,1.652,1.6357,1.6445,-0.0061,0
1999-01-11,1.6445,1.644,1.6295,1.6299,-0.0146,0
1999-01-12,1.6299,1.6336,1.6235,1.6305,0.0006,1
1999-01-13,1.6305,1.6602,1.6325,1.6478,0.0173,1
1999-01-14,1.6478,1.658,1.6495,1.6568,0.009,1
1999-01-15,1.6568,1.6645,1.6493,1.6519,-0.0049,0
1999-01-18,1.6519,1.656,1.649,1.653,0.0011,1
1999-01-19,1.653,1.6622,1.648,1.655,0.002,1
1999-01-20,1.655,1.6565,1.6446,1.6452,-0.0098,0
1999-01-21,1.6452,1.6559,1.642,1.6525,0.0073,1
1999-01-22,1.6525,1.657,1.65,1.6543,0.0018,1
1999-01-25,1.6543,1.6609,1.6545,1.6568,0.0025,1
1999-01-26,1.6568,1.6625,1.657,1.6592,0.0024,1
1999-01-27,1.6592,1.6595,1.6437,1.6445,-0.0147,0
1999-01-28,1.6445,1.6505,1.6445,1.65,0.0055,1
1999-01-29,1.65,1.6495,1.6417,1.6467,-0.0033,0
1999-02-01,1.6467,1.648,1.6382,1.6418,-0.0049,0
1999-02-02,1.6418,1.6495,1.6377,1.6395,-0.0023,0
1999-02-03,1.6395,1.6397,1.633,1.6363,-0.0032,0
1999-02-04,1.6363,1.6453,1.6305,1.6451,0.0088,1
1999-02-05,1.6451,1.646,1.631,1.6322,-0.0129,0
1999-02-08,1.6322,1.6415,1.6289,1.6395,0.0073,1
1999-02-09,1.6395,1.641,1.6326,1.6356,-0.0039,0
1999-02-10,1.6356,1.638,1.6288,1.6296,-0.006,0
1999-02-11,1.6296,1.628,1.619,1.6218,-0.0078,0
1999-02-12,1.6218,1.6322,1.621,1.6312,0.0094,1
1999-02-15,1.6312,1.633,1.626,1.626,-0.0052,0
1999-02-16,1.626,1.635,1.6235,1.6338,0.0078,1
1999-02-17,1.6338,1.6396,1.632,1.6348,0.001,1
1999-02-18,1.6348,1.6385,1.6321,1.6353,0.0005,1
1999-02-19,1.6353,1.639,1.6203,1.6215,-0.0138,0
1999-02-22,1.6215,1.627,1.6175,1.6262,0.0047,1
1999-02-23,1.6262,1.6265,1.6096,1.6132,-0.013,0
1999-02-24,1.6132,1.616,1.5946,1.5961,-0.0171,0
1999-02-25,1.5961,1.6071,1.597,1.6039,0.0078,1
1999-02-26,1.6039,1.6065,1.5972,1.6016,-0.0023,0
1999-03-01,1.6016,1.6122,1.5955,1.6088,0.0072,1
1999-03-02,1.6088,1.6163,1.605,1.6141,0.0053,1
1999-03-03,1.6141,1.622,1.6117,1.6131,-0.001,0
1999-03-04,1.6131,1.6135,1.6053,1.6105,-0.0026,0
1999-03-05,1.6105,1.6105,1.6048,1.6062,-0.0043,0
1999-03-08,1.6062,1.6111,1.601,1.6077,0.0015,1
