Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,1.534,1.534,1.534,1.534,0,2
1999-01-04,1.534,1.5345,1.5226,1.5268,-0.0072,0
1999-01-05,1.5268,1.5298,1.5136,1.5148,-0.012,0
1999-01-06,1.5148,1.523,1.5018,1.5104,-0.0044,0
1999-01-07,1.5104,1.5145,1.5059,1.5127,0.0023,1
1999-01-08,1.5127,1.5165,1.5085,1.5124,-0.0003,0
1999-01-11,1.5124,1.514,1.5048,1.5059,-0.0065,0
1999-01-12,1.5059,1.5147,1.506,1.5133,0.0074,1
1999-01-13,1.5133,1.5456,1.515,1.52,0.0067,1
1999-01-14,1.52,1.5347,1.5185,1.5342,0.0142,1
1999-01-15,1.5342,1.5314,1.5249,1.5281,-0.0061,0
1999-01-18,1.5281,1.529,1.521,1.527,-0.0011,0
1999-01-19,1.527,1.5334,1.525,1.5304,0.0034,1
1999-01-20,1.5304,1.5305,1.5208,1.5217,-0.0087,0
1999-01-21,1.5217,1.523,1.5112,1.5187,-0.003,0
1999-01-22,1.5187,1.5214,1.5115,1.5186,-1.00E-04,0
1999-01-25,1.5186,1.5235,1.5128,1.5176,-0.001,0
1999-01-26,1.5176,1.522,1.5155,1.5199,0.0023,1
1999-01-27,1.5199,1.5216,1.5185,1.5203,0.0004,1
1999-01-28,1.5203,1.5279,1.518,1.5184,-0.0019,0
1999-01-29,1.5184,1.518,1.5064,1.5105,-0.0079,0
1999-02-01,1.5105,1.514,1.5064,1.5089,-0.0016,0
1999-02-02,1.5089,1.516,1.5028,1.5146,0.0057,1
1999-02-03,1.5146,1.516,1.5097,1.5129,-0.0017,0
1999-02-04,1.5129,1.5107,1.4902,1.4929,-0.02,0
1999-02-05,1.4929,1.4925,1.4825,1.4893,-0.0036,0
1999-02-08,1.4893,1.4929,1.4853,1.4909,0.0016,1
1999-02-09,1.4909,1.4969,1.4895,1.4958,0.0049,1
1999-02-10,1.4958,1.4965,1.4887,1.4891,-0.0067,0
1999-02-11,1.4891,1.4936,1.4865,1.4933,0.0042,1
1999-02-12,1.4933,1.494,1.4882,1.4929,-0.0004,0
1999-02-15,1.4929,1.494,1.492,1.4935,0.0006,1
1999-02-16,1.4935,1.5065,1.4925,1.495,0.0015,1
1999-02-17,1.495,1.5004,1.494,1.4955,0.0005,1
1999-02-18,1.4955,1.495,1.4855,1.487,-0.0085,0
1999-02-19,1.487,1.4924,1.4865,1.4884,0.0014,1
1999-02-22,1.4884,1.4987,1.4871,1.496,0.0076,1
1999-02-23,1.496,1.4996,1.4936,1.4962,0.0002,1
1999-02-24,1.4962,1.504,1.494,1.4974,0.0012,1
1999-02-25,1.4974,1.5144,1.4975,1.5096,0.0122,1
1999-02-26,1.5096,1.514,1.5062,1.5102,0.0006,1
1999-03-01,1.5102,1.5252,1.5071,1.5222,0.012,1
1999-03-02,1.5222,1.528,1.5185,1.5204,-0.0018,0
1999-03-03,1.5204,1.529,1.519,1.5266,0.0062,1
1999-03-04,1.5266,1.5313,1.5238,1.5248,-0.0018,0
1999-03-05,1.5248,1.5236,1.5148,1.5199,-0.0049,0
1999-03-08,1.5199,1.5195,1.5127,1.5152,-0.0047,0
1999-03-09,1.5152,1.5196,1.5115,1.5177,0.0025,1
1999-03-10,1.5177,1.525,1.5135,1.5222,0.0045,1
1999-03-11,1.5222,1.525,1.5183,1.5243,0.0021,1
1999-03-12,1.5243,1.5275,1.519,1.5236,-0.0007,0
1999-03-15,1.5236,1.5299,1.523,1.526,0.0024,1
1999-03-16,1.526,1.5309,1.5255,1.5276,0.0016,1
1999-03-17,1.5276,1.528,1.519,1.5211,-0.0065,0
1999-03-18,1.5211,1.5215,1.516,1.5174,-0.0037,0
1999-03-19,1.5174,1.519,1.5144,1.5155,-0.0019,0
1999-03-22,1.5155,1.5152,1.5023,1.5037,-0.0118,0
1999-03-23,1.5037,1.5088,1.5037,1.507,0.0033,1
1999-03-24,1.507,1.5094,1.5018,1.5077,0.0007,1
1999-03-25,1.5077,1.5135,1.5076,1.5076,-1.00E-04,0
1999-03-26,1.5076,1.5161,1.505,1.5142,0.0066,1
1999-03-29,1.5142,1.5152,1.5113,1.5138,-0.0004,0
1999-03-30,1.5138,1.5155,1.5114,1.5116,-0.0022,0
1999-03-31,1.5116,1.5149,1.5065,1.5087,-0.0029,0
1999-04-01,1.5087,1.5075,1.4964,1.4984,-0.0103,0
1999-04-02,1.4984,1.5005,1.496,1.496,-0.0024,0
1999-04-05,1.496,1.5069,1.4957,1.5025,0.0065,1
1999-04-06,1.5025,1.5052,1.5005,1.5027,0.0002,1
1999-04-07,1.5027,1.5045,1.498,1.4993,-0.0034,0
1999-04-08,1.4993,1.5003,1.4969,1.5001,0.0008,1
1999-04-09,1.5001,1.504,1.4975,1.5003,0.0002,1
1999-04-12,1.5003,1.5005,1.4922,1.4936,-0.0067,0
1999-04-13,1.4936,1.4925,1.487,1.4905,-0.0031,0
1999-04-14,1.4905,1.4942,1.49,1.4938,0.0033,1
1999-04-15,1.4938,1.497,1.4878,1.4885,-0.0053,0
1999-04-16,1.4885,1.489,1.478,1.479,-0.0095,0
1999-04-19,1.479,1.4877,1.478,1.4855,0.0065,1
1999-04-20,1.4855,1.4911,1.4854,1.4905,0.005,1
1999-04-21,1.4905,1.4925,1.4861,1.4874,-0.0031,0
1999-04-22,1.4874,1.488,1.4797,1.4814,-0.006,0
1999-04-23,1.4814,1.48,1.4744,1.4757,-0.0057,0
1999-04-26,1.4757,1.4824,1.4748,1.4757,0,2
1999-04-27,1.4757,1.4832,1.4764,1.4791,0.0034,1
1999-04-28,1.4791,1.4809,1.4744,1.4772,-0.0019,0
1999-04-29,1.4772,1.4738,1.4643,1.4663,-0.0109,0
1999-04-30,1.4663,1.4655,1.4538,1.4585,-0.0078,0
1999-05-03,1.4585,1.4582,1.446,1.4479,-0.0106,0
1999-05-04,1.4479,1.4557,1.4465,1.4531,0.0052,1
1999-05-05,1.4531,1.4573,1.4494,1.451,-0.0021,0
1999-05-06,1.451,1.4573,1.4452,1.4545,0.0035,1
1999-05-07,1.4545,1.4625,1.4525,1.4567,0.0022,1
1999-05-10,1.4567,1.4617,1.457,1.4592,0.0025,1
1999-05-11,1.4592,1.4615,1.451,1.4535,-0.0057,0
1999-05-12,1.4535,1.462,1.4505,1.4596,0.0061,1
1999-05-13,1.4596,1.4635,1.4562,1.4588,-0.0008,0
1999-05-14,1.4588,1.4654,1.4535,1.4637,0.0049,1
1999-05-17,1.4637,1.4685,1.4577,1.459,-0.0047,0
1999-05-18,1.459,1.4653,1.4565,1.4639,0.0049,1
1999-05-19,1.4639,1.4713,1.4638,1.4674,0.0035,1
1999-05-20,1.4674,1.4688,1.4643,1.466,-0.0014,0
1999-05-21,1.466,1.4665,1.4581,1.4607,-0.0053,0
1999-05-24,1.4607,1.4625,1.4533,1.4545,-0.0062,0
1999-05-25,1.4545,1.468,1.4537,1.4655,0.011,1
1999-05-26,1.4655,1.475,1.4645,1.4724,0.0069,1
1999-05-27,1.4724,1.4776,1.4653,1.4755,0.0031,1
1999-05-28,1.4755,1.479,1.4709,1.4739,-0.0016,0
1999-05-31,1.4739,1.4773,1.473,1.473,-0.0009,0
1999-06-01,1.473,1.4849,1.4743,1.4836,0.0106,1
1999-06-02,1.4836,1.486,1.4776,1.4798,-0.0038,0
1999-06-03,1.4798,1.481,1.4746,1.4759,-0.0039,0
1999-06-04,1.4759,1.4775,1.4684,1.4699,-0.006,0
1999-06-07,1.4699,1.4736,1.4665,1.4687,-0.0012,0
1999-06-08,1.4687,1.4765,1.4663,1.4715,0.0028,1
1999-06-09,1.4715,1.4757,1.4711,1.4731,0.0016,1
1999-06-10,1.4731,1.4725,1.4589,1.4628,-0.0103,0
1999-06-11,1.4628,1.463,1.4567,1.4616,-0.0012,0
1999-06-14,1.4616,1.4634,1.458,1.4603,-0.0013,0
1999-06-15,1.4603,1.4655,1.4593,1.4621,0.0018,1
1999-06-16,1.4621,1.4645,1.4572,1.4593,-0.0028,0
1999-06-17,1.4593,1.4662,1.4549,1.464,0.0047,1
1999-06-18,1.464,1.4675,1.4625,1.4642,0.0002,1
1999-06-21,1.4642,1.4737,1.4613,1.4711,0.0069,1
1999-06-22,1.4711,1.4739,1.4685,1.4711,0,2
1999-06-23,1.4711,1.4763,1.4673,1.4718,0.0007,1
1999-06-24,1.4718,1.4727,1.4678,1.4719,1.00E-04,1
1999-06-25,1.4719,1.4729,1.462,1.465,-0.0069,0
1999-06-28,1.465,1.4701,1.4632,1.4686,0.0036,1
1999-06-29,1.4686,1.4793,1.4691,1.478,0.0094,1
1999-06-30,1.478,1.483,1.4635,1.4656,-0.0124,0
1999-07-01,1.4656,1.4737,1.4616,1.4718,0.0062,1
1999-07-02,1.4718,1.474,1.4618,1.4631,-0.0087,0
1999-07-05,1.4631,1.468,1.463,1.467,0.0039,1
1999-07-06,1.467,1.4711,1.4628,1.4707,0.0037,1
1999-07-07,1.4707,1.472,1.4686,1.4694,-0.0013,0
1999-07-08,1.4694,1.4736,1.467,1.4721,0.0027,1
1999-07-09,1.4721,1.4738,1.4685,1.4734,0.0013,1
1999-07-12,1.4734,1.4822,1.4718,1.4787,0.0053,1
1999-07-13,1.4787,1.4849,1.4781,1.4822,0.0035,1
1999-07-14,1.4822,1.4847,1.479,1.4807,-0.0015,0
1999-07-15,1.4807,1.4839,1.4785,1.4823,0.0016,1
1999-07-16,1.4823,1.4846,1.4813,1.4833,0.001,1
1999-07-19,1.4833,1.4955,1.4822,1.49,0.0067,1
1999-07-20,1.49,1.4953,1.4894,1.4912,0.0012,1
1999-07-21,1.4912,1.5036,1.4905,1.4998,0.0086,1
1999-07-22,1.4998,1.5126,1.4982,1.5075,0.0077,1
1999-07-23,1.5075,1.5091,1.503,1.5075,0,2
1999-07-26,1.5075,1.5176,1.5024,1.5093,0.0018,1
1999-07-27,1.5093,1.516,1.507,1.5134,0.0041,1
1999-07-28,1.5134,1.515,1.5046,1.506,-0.0074,0
1999-07-29,1.506,1.5139,1.5041,1.5059,-1.00E-04,0
1999-07-30,1.5059,1.5083,1.5018,1.5045,-0.0014,0
1999-08-02,1.5045,1.5132,1.5025,1.505,0.0005,1
1999-08-03,1.505,1.5063,1.4923,1.4932,-0.0118,0
1999-08-04,1.4932,1.4978,1.4881,1.4901,-0.0031,0
1999-08-05,1.4901,1.4969,1.4889,1.4965,0.0064,1
