Date,Open,High,Low,Close,Profit/Loss,Trend
1999-01-01,1.3741,1.3741,1.3741,1.3741,0,2
1999-01-04,1.3741,1.3737,1.3575,1.3671,-0.007,0
1999-01-05,1.3671,1.3732,1.3645,1.371,0.0039,1
1999-01-06,1.371,1.4006,1.3705,1.3952,0.0242,1
1999-01-07,1.3952,1.3925,1.3741,1.3779,-0.0173,0
1999-01-08,1.3779,1.4001,1.3765,1.3917,0.0138,1
1999-01-11,1.3917,1.4031,1.39,1.402,0.0103,1
1999-01-12,1.402,1.405,1.3854,1.3886,-0.0134,0
1999-01-13,1.3886,1.388,1.3377,1.3668,-0.0218,0
1999-01-14,1.3668,1.3707,1.3536,1.3574,-0.0094,0
1999-01-15,1.3574,1.3817,1.3495,1.3793,0.0219,1
1999-01-18,1.3793,1.3865,1.377,1.379,-0.0003,0
1999-01-19,1.379,1.385,1.3725,1.375,-0.004,0
1999-01-20,1.375,1.3937,1.377,1.3901,0.0151,1
1999-01-21,1.3901,1.391,1.379,1.384,-0.0061,0
1999-01-22,1.384,1.3855,1.376,1.3843,0.0003,1
1999-01-25,1.3843,1.3892,1.3745,1.3867,0.0024,1
1999-01-26,1.3867,1.39,1.381,1.3893,0.0026,1
1999-01-27,1.3893,1.4132,1.3875,1.4106,0.0213,1
1999-01-28,1.4106,1.4186,1.405,1.4103,-0.0003,0
1999-01-29,1.4103,1.4208,1.4095,1.4141,0.0038,1
1999-02-01,1.4141,1.4253,1.41,1.4199,0.0058,1
1999-02-02,1.4199,1.422,1.4068,1.4129,-0.007,0
1999-02-03,1.4129,1.4179,1.4065,1.4149,0.002,1
1999-02-04,1.4149,1.425,1.412,1.4143,-0.0006,0
1999-02-05,1.4143,1.424,1.408,1.4214,0.0071,1
1999-02-08,1.4214,1.4275,1.4133,1.415,-0.0064,0
1999-02-09,1.415,1.4226,1.4115,1.4208,0.0058,1
1999-02-10,1.4208,1.4195,1.4022,1.4059,-0.0149,0
1999-02-11,1.4059,1.4277,1.4085,1.4269,0.021,1
1999-02-12,1.4269,1.426,1.413,1.416,-0.0109,0
1999-02-15,1.416,1.423,1.414,1.422,0.006,1
1999-02-16,1.422,1.4329,1.4225,1.4254,0.0034,1
1999-02-17,1.4254,1.427,1.418,1.4226,-0.0028,0
1999-02-18,1.4226,1.4311,1.4165,1.4274,0.0048,1
1999-02-19,1.4274,1.4496,1.428,1.4465,0.0191,1
1999-02-22,1.4465,1.4585,1.4464,1.4483,0.0018,1
1999-02-23,1.4483,1.4574,1.444,1.448,-0.0003,0
1999-02-24,1.448,1.4562,1.4433,1.4484,0.0004,1
1999-02-25,1.4484,1.4485,1.4323,1.4385,-0.0099,0
1999-02-26,1.4385,1.4528,1.4395,1.4468,0.0083,1
1999-03-01,1.4468,1.464,1.446,1.4629,0.0161,1
1999-03-02,1.4629,1.4655,1.4562,1.4577,-0.0052,0
1999-03-03,1.4577,1.4626,1.4541,1.4603,0.0026,1
1999-03-04,1.4603,1.4734,1.46,1.4687,0.0084,1
1999-03-05,1.4687,1.4749,1.4652,1.47,0.0013,1
1999-03-08,1.47,1.4745,1.457,1.4626,-0.0074,0
1999-03-09,1.4626,1.471,1.459,1.4659,0.0033,1
1999-03-10,1.4659,1.469,1.4549,1.4593,-0.0066,0
1999-03-11,1.4593,1.4773,1.4423,1.454,-0.0053,0
1999-03-12,1.454,1.4671,1.4515,1.4665,0.0125,1
1999-03-15,1.4665,1.467,1.4608,1.4652,-0.0013,0
1999-03-16,1.4652,1.4745,1.4517,1.4534,-0.0118,0
1999-03-17,1.4534,1.461,1.4449,1.4513,-0.0021,0
1999-03-18,1.4513,1.4591,1.4445,1.4581,0.0068,1
1999-03-19,1.4581,1.4591,1.454,1.4676,0.0095,1
1999-03-22,1.4676,1.4715,1.4617,1.4623,-0.0053,0
1999-03-23,1.4623,1.4675,1.4566,1.4593,-0.003,0
1999-03-24,1.4593,1.4671,1.4516,1.4635,0.0042,1
1999-03-25,1.4635,1.4737,1.4615,1.4713,0.0078,1
1999-03-26,1.4713,1.487,1.4685,1.4796,0.0083,1
1999-03-29,1.4796,1.4925,1.478,1.4838,0.0042,1
1999-03-30,1.4838,1.492,1.4825,1.4905,0.0067,1
1999-03-31,1.4905,1.4925,1.475,1.4828,-0.0077,0
1999-04-01,1.4828,1.487,1.4751,1.4799,-0.0029,0
1999-04-02,1.4799,1.4835,1.478,1.481,0.0011,1
1999-04-05,1.481,1.4926,1.48,1.4893,0.0083,1
1999-04-06,1.4893,1.49,1.4694,1.473,-0.0163,0
1999-04-07,1.473,1.4845,1.4715,1.4819,0.0089,1
1999-04-08,1.4819,1.4882,1.465,1.4856,0.0037,1
